caller_component|callee_component|caller_layer|callee_layer
cuServerInfo|oApplication|ServiceClass|ExternalOrShared
cuServerInfo|oCatalog|ServiceClass|ExternalOrShared
cuServerInfo|oFS|ServiceClass|ExternalOrShared
cuSPMCache|cuContainer|ServiceClass|ServiceClass
cuSPMCache|spg|ServiceClass|ExternalOrShared
cuSPMCache|spgm|ServiceClass|ExternalOrShared
cuSPMCache|cuSPMCache|ServiceClass|ServiceClass
cuSPMCache|CreateObject|ServiceClass|ExternalOrShared
cuSPMCache|r_spg|ServiceClass|ExternalOrShared
util_DBConnectMgr|ral|Utility|ExternalOrShared
util_DBConnectMgr|DescArgsFrom|Utility|ExternalOrShared
util_DBConnectMgr|util_DBConnectMgr|Utility|Utility
util_TrisErrLog|util_TrisErrLog|Utility|Utility
util_TrisErrLog|lFileFSO|Utility|ExternalOrShared
util_TrisErrLog|App|Utility|ExternalOrShared
util_TrisErrLog|objRegAccess|Utility|ExternalOrShared
